,平均值项:negative_prob,平均值项:confidence,平均值项:positive_prob,平均值项:sentiment,计数项:id
2019年,0.773101417,0.765598583,0.226898601,0.333333333,12
12月27日,0.5996895,0.7722395,0.40031027,1,2
12月28日,0.06931,0.845978,0.93069,2,1
12月30日,0.62012,0.155823,0.37988,0,1
12月31日,0.923551,0.830112875,0.076449084,0,8
2020年,0.27829025,0.718510785,0.721709748,1.529093051,4245
1月1日,0.92210225,0.8268935,0.07789775,0,4
1月2日,0.992356667,0.983013667,0.007643748,0,3
1月3日,0.909375,0.7986105,0.0906252,0,2
1月6日,0.617031333,0.597815667,0.382968601,0.666666667,6
1月7日,0.188363352,0.6513314,0.8116366,1.6,5
1月9日,0.641624333,0.736139667,0.35837523,0.666666667,3
1月10日,0.993258,0.985018,0.00674172,0,1
1月11日,0.583046714,0.305407136,0.416953286,0.857142857,7
1月12日,0.338016,0.248854,0.661984,2,1
1月13日,0.906482,0.7921825,0.0935178,0,2
1月14日,0.6046185,0.52868635,0.395381513,1,6
1月15日,0.390599084,0.52125868,0.609401,0.8,5
1月16日,0.3501995,0.444375005,0.6498005,1.75,4
1月17日,0.766571,0.48127,0.233429,0,1
1月18日,0.436916,0.6303045,0.563084,1,2
1月19日,0.37849428,0.61509962,0.6215057,1.3,10
1月20日,0.259043641,0.70719879,0.7409564,1.55,20
1月21日,0.339059337,0.661443656,0.660940654,1.444444444,54
1月22日,0.31277474,0.632711949,0.687225262,1.476190476,105
1月23日,0.395589148,0.625572474,0.604410841,1.304,125
1月24日,0.278145526,0.716328845,0.721854413,1.512,125
1月25日,0.197112404,0.723326806,0.802887605,1.743902439,164
1月26日,0.236292753,0.71649481,0.763707248,1.61965812,234
1月27日,0.264594702,0.720106824,0.735405326,1.553571429,280
1月28日,0.242065978,0.733882568,0.75793401,1.597444089,313
1月29日,0.257012219,0.725319704,0.742987805,1.59223301,309
1月30日,0.250135222,0.749820362,0.749864764,1.558139535,344
1月31日,0.262020599,0.717001294,0.7379794,1.593667546,379
2月1日,0.298157076,0.711267021,0.701842915,1.465373961,361
2月2日,0.274530377,0.738822434,0.725469615,1.529968454,317
2月3日,0.288492634,0.730847472,0.711507375,1.491803279,305
2月4日,0.285038504,0.745051625,0.714961504,1.518518519,324
2月5日,0.317552361,0.715100135,0.682447634,1.453642384,302
2月6日,0.268508674,0.712509949,0.731491305,1.551401869,107
2月7日,0.4105338,0.5857298,0.5894662,1.4,5
2月9日,0.18058,0.59871,0.81942,2,1
2月10日,0.042996227,0.904453,0.957003667,2,3
2月17日,0.0470946,0.895345,0.952905,2,1
2月20日,0.184952,0.588995,0.815048,2,1
3月3日,0.671177,0.269283,0.328823,0,1
3月5日,0.721254,0.380565,0.278746,0,1
4月13日,0.0299483,0.933448,0.970052,2,1
12月3日,0.215659,0.520758,0.784341,2,1
总计,0.279685067,0.71864352,0.720314932,1.52572234,4257
